(1243, 540) (1488, 850) (1488, 540) (1733, 850)
(1257, 542) (1502, 852) (1502, 542) (1747, 852)
(1252, 541) (1497, 851) (1497, 541) (1742, 851)
(1251, 539) (1496, 849) (1496, 539) (1741, 849)
(1251, 540) (1496, 850) (1496, 540) (1741, 850)
(1251, 537) (1496, 847) (1496, 537) (1741, 847)
(1249, 538) (1494, 848) (1494, 538) (1739, 848)
(1255, 537) (1500, 847) (1500, 537) (1745, 847)
(1251, 537) (1496, 847) (1496, 537) (1741, 847)
(1251, 537) (1496, 847) (1496, 537) (1741, 847)
(1251, 537) (1496, 847) (1496, 537) (1741, 847)
(1255, 538) (1500, 848) (1500, 538) (1745, 848)
(1254, 537) (1499, 847) (1499, 537) (1744, 847)
(1255, 539) (1500, 849) (1500, 539) (1745, 849)
(1254, 538) (1499, 848) (1499, 538) (1744, 848)
(1253, 539) (1498, 849) (1498, 539) (1743, 849)
(1252, 537) (1497, 847) (1497, 537) (1742, 847)
(1247, 537) (1492, 847) (1492, 537) (1737, 847)
(1245, 539) (1490, 849) (1490, 539) (1735, 849)
(1244, 537) (1489, 847) (1489, 537) (1734, 847)
(1243, 538) (1488, 848) (1488, 538) (1733, 848)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1244, 538) (1489, 848) (1489, 538) (1734, 848)
(1245, 539) (1490, 849) (1490, 539) (1735, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1244, 537) (1489, 847) (1489, 537) (1734, 847)
(1243, 536) (1488, 846) (1488, 536) (1733, 846)
(1244, 540) (1489, 850) (1489, 540) (1734, 850)
(1244, 539) (1489, 849) (1489, 539) (1734, 849)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
