(1255, 561) (1500, 871) (1500, 561) (1745, 871)
(1246, 554) (1491, 864) (1491, 554) (1736, 864)
(1244, 553) (1489, 863) (1489, 553) (1734, 863)
(1246, 555) (1491, 865) (1491, 555) (1736, 865)
(1243, 552) (1488, 862) (1488, 552) (1733, 862)
(1242, 552) (1487, 862) (1487, 552) (1732, 862)
(1244, 554) (1489, 864) (1489, 554) (1734, 864)
(1244, 550) (1489, 860) (1489, 550) (1734, 860)
(1241, 549) (1486, 859) (1486, 549) (1731, 859)
(1243, 550) (1488, 860) (1488, 550) (1733, 860)
(1246, 552) (1491, 862) (1491, 552) (1736, 862)
(1249, 551) (1494, 861) (1494, 551) (1739, 861)
(1247, 549) (1492, 859) (1492, 549) (1737, 859)
(1247, 549) (1492, 859) (1492, 549) (1737, 859)
(1247, 549) (1492, 859) (1492, 549) (1737, 859)
(1245, 546) (1490, 856) (1490, 546) (1735, 856)
(1241, 549) (1486, 859) (1486, 549) (1731, 859)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1237, 547) (1482, 857) (1482, 547) (1727, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1241, 549) (1486, 859) (1486, 549) (1731, 859)
(1237, 549) (1482, 859) (1482, 549) (1727, 859)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 550) (1484, 860) (1484, 550) (1729, 860)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1243, 550) (1488, 860) (1488, 550) (1733, 860)
(1245, 550) (1490, 860) (1490, 550) (1735, 860)
(1240, 549) (1485, 859) (1485, 549) (1730, 859)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1241, 548) (1486, 858) (1486, 548) (1731, 858)
(1240, 550) (1485, 860) (1485, 550) (1730, 860)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1241, 555) (1486, 865) (1486, 555) (1731, 865)
(1241, 547) (1486, 857) (1486, 547) (1731, 857)
(1241, 548) (1486, 858) (1486, 548) (1731, 858)
(1241, 549) (1486, 859) (1486, 549) (1731, 859)
(1241, 547) (1486, 857) (1486, 547) (1731, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1241, 549) (1486, 859) (1486, 549) (1731, 859)
(1242, 548) (1487, 858) (1487, 548) (1732, 858)
(1241, 547) (1486, 857) (1486, 547) (1731, 857)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1241, 550) (1486, 860) (1486, 550) (1731, 860)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1242, 548) (1487, 858) (1487, 548) (1732, 858)
(1241, 548) (1486, 858) (1486, 548) (1731, 858)
(1241, 548) (1486, 858) (1486, 548) (1731, 858)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 550) (1484, 860) (1484, 550) (1729, 860)
(1241, 548) (1486, 858) (1486, 548) (1731, 858)
(1240, 546) (1485, 856) (1485, 546) (1730, 856)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1241, 547) (1486, 857) (1486, 547) (1731, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1240, 546) (1485, 856) (1485, 546) (1730, 856)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1240, 548) (1485, 858) (1485, 548) (1730, 858)
(1244, 552) (1489, 862) (1489, 552) (1734, 862)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1237, 547) (1482, 857) (1482, 547) (1727, 857)
(1240, 547) (1485, 857) (1485, 547) (1730, 857)
(1238, 548) (1483, 858) (1483, 548) (1728, 858)
(1237, 546) (1482, 856) (1482, 546) (1727, 856)
(1237, 547) (1482, 857) (1482, 547) (1727, 857)
(1238, 546) (1483, 856) (1483, 546) (1728, 856)
(1237, 547) (1482, 857) (1482, 547) (1727, 857)
(1238, 548) (1483, 858) (1483, 548) (1728, 858)
(1237, 546) (1482, 856) (1482, 546) (1727, 856)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1238, 547) (1483, 857) (1483, 547) (1728, 857)
(1237, 547) (1482, 857) (1482, 547) (1727, 857)
(1242, 549) (1487, 859) (1487, 549) (1732, 859)
0
(1239, 549) (1484, 859) (1484, 549) (1729, 859)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
(1239, 550) (1484, 860) (1484, 550) (1729, 860)
(1240, 551) (1485, 861) (1485, 551) (1730, 861)
(1239, 551) (1484, 861) (1484, 551) (1729, 861)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1238, 549) (1483, 859) (1483, 549) (1728, 859)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1238, 548) (1483, 858) (1483, 548) (1728, 858)
(1238, 547) (1483, 857) (1483, 547) (1728, 857)
(1238, 547) (1483, 857) (1483, 547) (1728, 857)
(1238, 547) (1483, 857) (1483, 547) (1728, 857)
(1239, 548) (1484, 858) (1484, 548) (1729, 858)
(1242, 547) (1487, 857) (1487, 547) (1732, 857)
(1239, 547) (1484, 857) (1484, 547) (1729, 857)
(1239, 546) (1484, 856) (1484, 546) (1729, 856)
